 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     3412;SC   ;CO     ;   3412;   0.3;  0.3; 1979;     5
       1;     9674;SC   ;CO     ;   6262;  -0.8; -0.8; 1996;    11
       1;     9679;SR   ;EV     ;      5;   0.1;  0.1; 1996;    11
       1;    10162;SR   ;EV     ;    483;  -0.1; -0.1; 1998;     3
       1;    10889;UR   ;CO     ;    727;   0.1;  0.1; 2000;     6
       1;    13773;UR   ;CO     ;   2884;   0.1;  0.1; 2009;    12
       2;     1536;UR   ;EV     ;   1536;  -0.1; -0.1; 1974;     4
       3;      606;SR   ;EV     ;    606;  -0.1; -0.1; 1971;     9
       3;     1426;SC   ;EV     ;    820;   0.1;  0.1; 1974;     6
       4;     3947;SC   ;CO     ;   3947;   1.0;  1.0; 1981;     1
       4;     4216;UR   ;EV     ;    269;  -0.1; -0.1; 1981;    11
       4;     5818;SC   ;CO     ;   1602;  -0.5; -0.5; 1986;     5
       6;     1181;SC   ;CO     ;   1181;   0.2;  0.2; 1973;     3
       7;      637;SR   ;CO     ;    637;   1.3;  1.3; 1971;    10
       7;     7541;SC   ;EV     ;   6904;  -0.1; -0.1; 1992;     4
       8;     1125;SR   ;CO     ;   1125;  -0.8; -0.7; 1973;     3
       8;     4498;UR   ;CO     ;   3373;   0.2;  0.1; 1985;    12
       8;     5925;SC   ;EV     ;   1427;   0.7;  0.7; 1990;     3
       8;    10073;UR   ;CO     ;   4148;   0.5;  0.5; 2002;     4
       9;    12632;SR   ;CO     ;  12632;   0.9;  0.9; 2006;    12
      10;     1909;UR   ;EV     ;   1909;   0.1;  0.2; 1975;     3
      10;     1988;SC   ;EV     ;     79;   0.1;  0.0; 1975;     6
      10;     9621;SC   ;EV     ;   7633;   0.1;  0.1; 1996;    10
      11;     8560;SR   ;CO     ;   8560;  -0.8; -0.8; 1997;    12
      12;     4626;SR   ;CO     ;   4626;  -0.5; -0.5; 1982;     9
      12;     5647;UR   ;CO     ;   1021;   0.1;  0.1; 1985;     7
      12;    12092;UR   ;CO     ;   6445;   0.1;  0.1; 2003;     4
      12;    14068;SC   ;EV     ;   1976;  -0.2; -0.1; 2008;     9
      14;     1771;SR   ;EV     ;   1771;   0.1;  0.0; 1976;     3
      14;     2894;UR   ;EV     ;   1123;  -0.1;  0.0; 1980;     5
      14;     3784;SC   ;EV     ;    890;   0.0; -0.1; 1983;     7
      14;     7315;UR   ;EV     ;   3531;   0.0;  0.1; 1994;     5
      14;    10686;SR   ;CO     ;   3371;  -1.3; -1.3; 2005;     9
      17;     6536;SC   ;CO     ;   6536;   1.0;  1.0; 1988;     9
      18;      281;SC   ;CO     ;    281;   0.3;  0.3; 1970;    10
      18;     2298;SR   ;EV     ;   2017;  -0.1; -0.1; 1976;     4
      19;     2037;SC   ;CO     ;   2037;   0.5;  0.5; 1977;     2
      19;    12833;SR   ;CO     ;  10796;   1.5;  1.5; 2008;    11
      20;       49;SC   ;CO     ;     49;   0.2;  0.2; 1970;     2
      20;     6015;SR   ;CO     ;   5966;  -0.7; -0.8; 1987;     5
      20;     9803;UR   ;EV     ;   3788;   0.1;  0.1; 2000;     7
      21;     2536;UR   ;EV     ;   2536;  -0.3; -0.2; 1976;    12
      21;    11360;SC   ;CO     ;   8824;   0.5;  0.5; 2004;    12
      22;     9597;SR   ;CO     ;   9597;   0.5;  0.5; 1998;     1
      23;     9952;SC   ;EV     ;   9952;   0.1;  0.1; 1997;     4
