 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     3074;SR   ;EV     ;   3074;   0.4;  0.4; 1978;     7
       1;     9312;UR   ;EV     ;   6238;   0.2;  0.2; 1996;     8
       1;    13173;SC   ;CO     ;   3861;  -1.0; -1.0; 2007;    12
       2;     1720;SC   ;EV     ;   1720;  -0.1; -0.2; 1974;    10
       2;     2091;SC   ;CO     ;    371;  -1.0; -1.0; 1975;    12
       2;     4318;SC   ;EV     ;   2227;   0.0;  0.1; 1982;     8
       3;     2907;SR   ;CO     ;   2907;  -1.0; -1.0; 1978;     3
       3;     3455;SR   ;CO     ;    548;   0.8;  0.9; 1979;    10
       3;     6870;SR   ;EV     ;   3415;   1.8;  1.8; 1989;     8
       3;     7952;SR   ;EV     ;   1082;  -1.7; -1.7; 1992;     8
       3;     8244;SC   ;CO     ;    292;  -1.0; -1.0; 1993;     7
       3;    12903;SR   ;EV     ;   4659;   1.7;  1.7; 2006;    11
       4;    11497;SR   ;EV     ;  11497;  -0.6; -0.6; 2002;     4
       5;     5792;SC   ;CO     ;   5792;  -0.2; -0.2; 1986;     8
       6;     4150;UR   ;CO     ;   4150;   0.1;  0.1; 1981;     6
       6;     5796;SR   ;EV     ;   1646;   1.2;  1.2; 1986;     1
       6;     6957;SC   ;CO     ;   1161;   0.7;  0.7; 1989;     6
       6;     9106;UR   ;CO     ;   2149;   0.1;  0.1; 1997;     2
       7;     3209;UR   ;EV     ;   3209;   0.0;  0.1; 1979;     5
       9;     4401;SR   ;CO     ;   4401;   1.2;  1.2; 1982;     1
       9;    12595;SR   ;EV     ;   8194;   0.2;  0.2; 2004;     7
      10;     1618;UR   ;EV     ;   1618;   0.1;  0.1; 1974;     7
      11;       35;SR   ;CO     ;     35;  -1.4; -1.4; 1970;     2
      11;     4838;SR   ;CO     ;   4803;   0.3;  0.3; 1985;     1
      11;     6821;SR   ;EV     ;   1983;   0.2;  0.2; 1990;     8
      11;    12054;SR   ;EV     ;   5233;  -0.2; -0.2; 2008;     8
      12;     1082;SR   ;EV     ;   1082;   0.5;  0.6; 1974;     6
      12;     3644;UR   ;EV     ;   2562;   0.5;  0.5; 1981;     8
      12;     7730;SC   ;EV     ;   4086;  -0.2; -0.2; 1994;     3
      12;    12547;SC   ;EV     ;   4817;  -0.1; -0.1; 2008;     8
      13;     4828;SR   ;EV     ;   4828;  -0.1; -0.1; 1983;     5
      13;     9500;UR   ;EV     ;   4672;  -0.1;  0.0; 1997;     4
      13;    10150;SR   ;CO     ;    650;  -1.2; -1.3; 1999;     3
      14;     3154;SR   ;EV     ;   3154;  -0.6; -0.6; 1980;     1
      14;     5886;SR   ;EV     ;   2732;   0.6;  0.6; 1987;     9
      14;    11459;UR   ;CO     ;   5573;   0.1;  0.1; 2003;     5
      14;    14570;UR   ;CO     ;   3111;      ;     ; 2011;    12
      15;     3462;SC   ;EV     ;   3462;   0.0; -0.1; 1979;     9
      15;     7660;SC   ;EV     ;   4198;   0.0;  0.1; 1991;     7
      15;     9202;UR   ;CO     ;   1542;   0.1;  0.1; 1995;    12
      15;    12390;SR   ;CO     ;   3188;  -1.4; -1.4; 2004;    12
      16;     2815;SC   ;EV     ;   2815;   0.1;  0.2; 1977;    10
      16;     4014;SC   ;EV     ;   1199;  -0.1; -0.2; 1981;     2
      16;     6545;SR   ;CO     ;   2531;   1.3;  1.2; 1988;     2
      16;     6610;UR   ;EV     ;     65;  -0.1; -0.1; 1988;     4
      16;     9389;SR   ;CO     ;   2779;  -0.5; -0.5; 1996;     2
      17;      307;SR   ;EV     ;    307;   0.1;  0.1; 1970;    12
      17;     1354;SC   ;CO     ;   1047;  -0.3; -0.3; 1973;    12
      17;     4932;SR   ;EV     ;   3578;  -0.1; -0.1; 1983;    12
      17;     7868;SR   ;EV     ;   2936;   0.1;  0.1; 1992;     3
      17;     8712;SR   ;CO     ;    844;  -0.3; -0.3; 1994;     7
      17;    13911;UR   ;CO     ;   5199;   0.3;  0.3; 2009;    12
      18;     1261;SR   ;EV     ;   1261;  -2.1; -2.1; 1973;     6
      18;     1811;SR   ;EV     ;    550;   2.1;  2.1; 1974;    12
      18;     5918;SR   ;EV     ;   4107;  -1.9; -1.9; 1987;     9
      18;     8433;SC   ;EV     ;   2515;  -0.2; -0.2; 1995;     7
      19;    11028;SC   ;CO     ;  11028;  -0.7; -0.7; 2002;     2
      19;    12321;SR   ;EV     ;   1293;   0.1;  0.1; 2006;     5
      19;    14051;UR   ;CO     ;   1730;      ;     ; 2011;    12
      20;     4095;SC   ;CO     ;   4095;  -1.2; -1.3; 1981;     7
      20;     5519;SC   ;CO     ;   1424;  -0.7; -0.7; 1985;     7
      20;     6918;SR   ;EV     ;   1399;   0.0; -0.1; 1989;     7
      20;     9832;SC   ;EV     ;   2914;   0.0;  0.1; 1997;     9
      21;     2346;UR   ;EV     ;   2346;   0.0;  0.1; 1976;     9
      21;     2750;SR   ;EV     ;    404;   3.5;  3.4; 1977;    11
      21;    10039;SC   ;CO     ;   7289;  -1.3; -1.3; 1998;     5
      21;    12581;SR   ;EV     ;   2542;  -3.4; -3.4; 2005;     6
      22;      209;SC   ;EV     ;    209;   0.0; -0.1; 1970;     7
      22;     2310;SR   ;EV     ;   2101;   0.1;  0.0; 1976;     4
      22;     9913;UR   ;EV     ;   7603;   0.6;  0.7; 1997;     2
      22;    14164;SR   ;EV     ;   4251;  -0.1; -0.1; 2008;    11
      23;     8147;SR   ;CO     ;   8147;   0.8;  0.7; 1995;     3
