 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     7809;SC   ;EV     ;   7809;   0.0;  0.1; 1992;     5
       1;     8733;SC   ;CO     ;    924;  -1.3; -1.3; 1994;    12
       2;      966;SR   ;EV     ;    966;   0.0;  0.1; 1972;     9
       2;     1722;SC   ;EV     ;    756;   0.0; -0.1; 1974;    10
       3;     1026;SR   ;CO     ;   1026;  -1.2; -1.2; 1973;     1
       3;     3519;SR   ;EV     ;   2493;  -1.7; -1.8; 1979;    12
       3;     8064;SC   ;EV     ;   4545;   0.0;  0.1; 1993;     1
       3;     8830;SR   ;CO     ;    766;  -0.5; -0.5; 1995;     3
       3;    12501;SR   ;EV     ;   3671;   1.7;  1.7; 2005;     9
       4;     5181;SR   ;EV     ;   5181;   0.6;  0.6; 1984;     4
       4;    11259;SR   ;CO     ;   6078;   1.5;  1.5; 2001;     8
       4;    11963;SR   ;EV     ;    704;  -0.6; -0.6; 2003;     8
       6;     3267;SR   ;EV     ;   3267;   1.1;  1.1; 1979;     1
       7;     1266;SR   ;EV     ;   1266;   2.9;  2.9; 1973;     6
       7;     4945;SR   ;EV     ;   3679;  -2.8; -2.8; 1984;     3
       7;    10941;SC   ;EV     ;   5996;  -0.1; -0.1; 2003;     5
       8;      346;SC   ;CO     ;    346;   1.0;  0.9; 1970;    12
       8;     9594;SC   ;EV     ;   9248;   0.0;  0.1; 1997;     9
       9;     2610;SR   ;EV     ;   2610;  -0.2; -0.2; 1977;     2
       9;     3305;SR   ;EV     ;    695;   0.2;  0.2; 1979;     1
       9;     4922;SR   ;EV     ;   1617;  -0.2; -0.2; 1983;     7
       9;    10668;SR   ;EV     ;   5746;   0.2;  0.2; 1999;     4
      10;     5438;SR   ;EV     ;   5438;  -2.2; -2.2; 1985;     2
      10;     7995;SR   ;EV     ;   2557;   2.2;  2.2; 1992;     5
      11;     5726;SR   ;EV     ;   5726;   0.2;  0.2; 1987;     7
      11;    10575;SR   ;EV     ;   4849;  -0.1; -0.1; 2003;     4
      11;    11114;SC   ;EV     ;    539;   0.0; -0.1; 2005;     5
      12;     5870;SC   ;EV     ;   5870;  -0.1; -0.1; 1988;    10
      12;    11899;SC   ;CO     ;   6029;  -0.5; -0.5; 2006;     7
      13;      838;SC   ;EV     ;    838;  -0.2; -0.2; 1972;     4
      13;     6084;SC   ;EV     ;   5246;  -0.2; -0.2; 1987;     1
      13;     8499;SC   ;EV     ;   2415;   0.1;  0.1; 1994;     5
      13;    11071;SC   ;EV     ;   2572;  -0.1; -0.2; 2002;     1
      14;     9549;SR   ;EV     ;   9549;   0.6;  0.6; 1998;     1
      15;     2552;SR   ;EV     ;   2552;   1.5;  1.6; 1977;     3
      15;     3136;SC   ;EV     ;    584;   0.0; -0.1; 1978;    10
      15;     9417;SC   ;EV     ;   6281;   0.0;  0.1; 1996;     7
      15;    10751;SR   ;EV     ;   1334;  -1.5; -1.5; 2000;     4
      15;    13966;SC   ;CO     ;   3215;   0.7;  0.7; 2009;    10
      16;     2862;SR   ;CO     ;   2862;   1.5;  1.5; 1977;    12
      16;    11483;SC   ;CO     ;   8621;   0.8;  0.8; 2002;     3
      16;    11816;SC   ;EV     ;    333;   0.1;  0.1; 2003;     2
      16;    12058;SC   ;EV     ;    242;   0.0; -0.1; 2003;    12
      17;     3041;SR   ;EV     ;   3041;  -0.1;  0.0; 1978;     9
      17;     5312;SR   ;EV     ;   2271;   0.1;  0.1; 1985;     1
      17;     8133;SR   ;CO     ;   2821;  -0.2; -0.3; 1992;    11
      17;     9166;SC   ;EV     ;   1033;  -0.2; -0.2; 1995;    10
      17;     9239;SC   ;EV     ;     73;   0.2;  0.2; 1995;    12
      17;    13544;SC   ;CO     ;   4305;   0.5;  0.5; 2008;    12
      18;     1460;SR   ;EV     ;   1460;  -2.1; -2.2; 1973;    12
      18;    11104;SC   ;EV     ;   9644;   0.0;  0.1; 2003;     4
      19;     8878;SC   ;CO     ;   8878;  -1.5; -1.5; 1995;    10
      19;    10115;SR   ;EV     ;   1237;   0.1;  0.1; 1999;     6
      20;     9084;SC   ;EV     ;   9084;  -0.1; -0.2; 1995;     7
      20;    11455;SR   ;EV     ;   2371;   0.0; -0.1; 2002;     5
      20;    13533;SC   ;EV     ;   2078;   0.0;  0.1; 2008;    10
      21;     4275;SR   ;CO     ;   4275;  -1.0; -1.1; 1982;     1
      21;     5858;SR   ;CO     ;   1583;   1.5;  1.6; 1986;     9
      21;     8533;SC   ;CO     ;   2675;  -0.8; -0.8; 1994;     3
      22;     1594;SC   ;EV     ;   1594;  -0.1; -0.2; 1974;     5
      22;     9068;SC   ;CO     ;   7474;   1.0;  1.0; 1994;    11
      23;     4430;SC   ;EV     ;   4430;  -0.2; -0.3; 1983;    10
      23;     4809;SC   ;EV     ;    379;  -0.3; -0.2; 1984;    12
      23;     7370;SR   ;CO     ;   2561;  -0.9; -0.9; 1992;     8
      23;     7571;SC   ;EV     ;    201;  -0.4; -0.4; 1993;     3
      23;    10684;SC   ;EV     ;   3113;  -0.1; -0.1; 2003;     1
      23;    10883;SR   ;CO     ;    199;   0.7;  0.7; 2003;     8
      24;      268;SR   ;EV     ;    268;  -0.4; -0.4; 1970;    12
      24;     9567;SR   ;EV     ;   9299;   0.4;  0.4; 1996;    11
      25;      425;SR   ;EV     ;    425;  -4.4; -4.3; 1971;     3
      25;     2491;SC   ;CO     ;   2066;  -0.7; -0.8; 1977;     4
      25;    12524;SR   ;EV     ;  10033;   4.4;  4.4; 2006;     1
      26;     1572;SC   ;EV     ;   1572;   0.0; -0.1; 1974;     4
      26;     5886;SC   ;CO     ;   4314;  -0.5; -0.4; 1986;     5
      26;     6537;SC   ;EV     ;    651;  -0.1;  0.0; 1988;     3
      27;     5638;SR   ;EV     ;   5638;  -0.9; -0.9; 1986;     1
      28;     3829;SR   ;EV     ;   3829;   0.3;  0.3; 1980;     9
      28;    10053;SC   ;EV     ;   6224;   0.0; -0.1; 2000;     7
      29;     2736;SC   ;CO     ;   2736;   1.0;  0.9; 1978;     5
      29;     2927;SR   ;CO     ;    191;   1.3;  1.3; 1979;     6
      30;     1843;SR   ;CO     ;   1843;   1.0;  1.0; 1975;     2
      32;     6687;SR   ;CO     ;   6687;   0.8;  0.7; 1988;     6
      32;    10854;SC   ;EV     ;   4167;  -0.1; -0.1; 2000;     3
      33;    11733;SR   ;CO     ;  11733;   0.5;  0.5; 2007;     8
      34;     6013;SC   ;EV     ;   6013;  -0.1; -0.1; 1987;    10
      34;     7514;SR   ;CO     ;   1501;   0.7;  0.8; 1991;    12
      34;     8736;SR   ;EV     ;   1222;   1.4;  1.4; 1995;     6
      35;     2792;SR   ;CO     ;   2792;   1.0;  1.0; 1979;     3
      35;     8829;SR   ;EV     ;   6037;   0.5;  0.5; 2000;     5
      37;     2411;SC   ;EV     ;   2411;   0.0; -0.1; 1976;     8
      37;     6650;SR   ;CO     ;   4239;   1.5;  1.5; 1988;     7
      37;    10225;SR   ;EV     ;   3575;   0.2;  0.2; 1998;     8
      38;      474;SR   ;EV     ;    474;  -0.1;  0.0; 1971;     4
      38;     6142;SC   ;CO     ;   5668;  -0.5; -0.5; 1987;     3
      38;     8065;SC   ;EV     ;   1923;   0.0; -0.1; 1992;    10
      38;    11784;SR   ;EV     ;   3719;   0.1;  0.1; 2003;     5
      40;     2975;SR   ;CO     ;   2975;  -1.3; -1.3; 1978;     2
      40;     5824;SC   ;CO     ;   2849;  -1.0; -1.0; 1985;    12
      41;     5753;SR   ;EV     ;   5753;  -0.1; -0.1; 1986;     6
      41;    10146;SR   ;EV     ;   4393;   0.1;  0.1; 1998;    11
      41;    10379;SC   ;CO     ;    233;   0.5;  0.5; 1999;     7
      41;    12274;SR   ;EV     ;   1895;  -0.1; -0.1; 2004;    11
      42;      851;SR   ;EV     ;    851;  -1.2; -1.2; 1972;     5
      42;     3967;SR   ;EV     ;   3116;   1.3;  1.3; 1980;    12
      42;     5127;SC   ;EV     ;   1160;   0.0; -0.1; 1984;     2
      42;     9315;SR   ;CO     ;   4188;  -0.2; -0.2; 1996;     4
      44;      309;SR   ;EV     ;    309;   0.1;  0.1; 1970;    11
      44;     7804;SC   ;CO     ;   7495;   1.5;  1.5; 1991;     9
      44;     9447;SR   ;EV     ;   1643;  -0.1; -0.1; 1996;     4
      44;    11085;SC   ;CO     ;   1638;  -1.0; -1.0; 2000;     9
      45;     4712;SC   ;CO     ;   4712;  -1.0; -1.0; 1983;     8
      45;     7809;SC   ;EV     ;   3097;   0.0;  0.1; 1992;    11
      46;      752;SC   ;EV     ;    752;  -0.1; -0.2; 1972;     2
      47;     3423;SC   ;EV     ;   3423;   0.0; -0.1; 1979;     9
      47;     4685;SC   ;CO     ;   1262;  -0.5; -0.5; 1983;     7
      47;     8983;SC   ;EV     ;   4298;   0.0;  0.1; 1996;     8
      47;    10166;SC   ;CO     ;   1183;   0.3;  0.2; 2000;     3
      47;    11105;SC   ;CO     ;    939;  -1.0; -1.0; 2003;     4
      48;     6789;SR   ;EV     ;   6789;   0.0;  0.1; 1990;     1
