 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     5333;SC   ;EV     ;   5333;  -0.3; -0.2; 1986;     6
       1;     6351;SR   ;CO     ;   1018;  -0.8; -0.8; 1989;     5
       2;    12749;SC   ;EV     ;  12749;  -0.2; -0.2; 2006;     7
       2;    13526;SC   ;EV     ;    777;   0.4;  0.3; 2008;     9
       4;     2316;SC   ;EV     ;   2316;   0.4;  0.4; 1976;     5
       4;    12537;SC   ;EV     ;  10221;  -0.1; -0.1; 2005;     2
       4;    13727;SR   ;EV     ;   1190;   1.1;  1.1; 2008;     6
       5;      420;SC   ;EV     ;    420;  -0.3; -0.2; 1971;     2
       5;     6698;SR   ;EV     ;   6278;   0.1;  0.1; 1988;     6
       5;    12857;SR   ;EV     ;   6159;   0.2;  0.2; 2005;     8
       5;    13204;SC   ;EV     ;    347;  -0.3; -0.3; 2006;     8
       6;     7915;SC   ;CO     ;   7915;  -0.5; -0.6; 1994;    11
       6;     9583;SC   ;EV     ;   1668;   0.4;  0.4; 2000;     1
       7;     1103;SC   ;EV     ;   1103;  -0.5; -0.4; 1973;     1
       7;     3394;SR   ;CO     ;   2291;  -0.5; -0.5; 1979;    10
       7;     4440;SC   ;CO     ;   1046;   1.5;  1.5; 1983;     2
       8;      443;SR   ;EV     ;    443;  -0.2; -0.4; 1971;     3
       8;      688;SC   ;CO     ;    245;   1.2;  1.3; 1971;    11
       8;     5993;SC   ;CO     ;   5305;   0.2;  0.2; 1987;     8
       8;     7478;SC   ;EV     ;   1485;  -0.5; -0.4; 1992;     1
       8;    10374;SR   ;EV     ;   2896;   0.5;  0.6; 2001;     9
       8;    11382;SC   ;EV     ;   1008;   0.3;  0.2; 2004;    10
       9;     4058;SC   ;EV     ;   4058;  -0.2; -0.1; 1981;     7
       9;     4326;SR   ;CO     ;    268;   0.3;  0.2; 1982;     5
       9;     4882;SC   ;EV     ;    556;   0.3;  0.3; 1983;    12
       9;     6480;SR   ;EV     ;   1598;  -1.4; -1.4; 1989;     3
       9;     7539;SR   ;EV     ;   1059;   1.4;  1.4; 1992;     3
      11;     2378;SC   ;EV     ;   2378;   0.2;  0.2; 1977;     5
      11;     8889;SR   ;EV     ;   6511;   0.5;  0.6; 1997;    10
      11;    11885;SC   ;CO     ;   2996;  -0.3; -0.3; 2006;    12
      12;     4954;SR   ;EV     ;   4954;   0.3;  0.3; 1983;    10
      12;     8702;SC   ;CO     ;   3748;  -0.7; -0.7; 1994;    10
      12;    10288;SR   ;CO     ;   1586;  -0.5; -0.5; 1999;     3
      13;     2713;SR   ;CO     ;   2713;   1.5;  1.5; 1977;     6
      14;     8278;SC   ;EV     ;   8278;   0.3;  0.2; 1995;    10
      15;     1457;SC   ;EV     ;   1457;   0.2;  0.1; 1974;     2
      15;     2376;SC   ;EV     ;    919;  -0.4; -0.3; 1976;     8
      15;     5630;SR   ;EV     ;   3254;   0.6;  0.5; 1987;     5
      15;    10816;SC   ;EV     ;   5186;  -0.4; -0.3; 2002;     9
      16;     6057;SC   ;EV     ;   6057;   0.1;  0.1; 1987;     1
      16;    12176;SC   ;CO     ;   6119;  -1.0; -1.0; 2004;    11
      17;     2636;SR   ;EV     ;   2636;  -0.1; -0.2; 1977;     4
