 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     5699;UR   ;EV     ;   5699;  -0.4; -0.5; 1987;     6
       1;     9645;SC   ;CO     ;   3946;  -1.5; -1.4; 1999;    11
       1;    11878;SR   ;EV     ;   2233;  -0.1; -0.1; 2008;    12
       2;     5945;SC   ;CO     ;   5945;  -0.5; -0.5; 1987;     7
       3;     3379;SC   ;EV     ;   3379;   0.2;  0.2; 1979;     4
       3;     3713;UR   ;EV     ;    334;   0.5;  0.5; 1980;     3
       3;     4990;SC   ;EV     ;   1277;  -0.1; -0.1; 1983;    10
       3;    10538;SR   ;EV     ;   5548;   0.1;  0.1; 1999;     7
       4;     2499;SC   ;CO     ;   2499;  -0.7; -0.7; 1976;    11
       4;     3621;SC   ;EV     ;   1122;   0.2;  0.2; 1979;    12
       4;     8850;UR   ;EV     ;   5229;   0.1;  0.1; 1994;    11
       5;     8921;SR   ;CO     ;   8921;   1.0;  1.0; 1994;     8
       5;     9541;SC   ;EV     ;    620;  -0.1; -0.1; 1996;     5
       5;    10177;UR   ;EV     ;    636;  -1.4; -1.4; 1998;     2
       5;    14273;SR   ;EV     ;   4096;  -0.1; -0.1; 2009;     8
       6;     2623;SR   ;EV     ;   2623;  -0.3; -0.3; 1978;     6
       6;     2651;UR   ;EV     ;     28;   0.2;  0.2; 1978;     7
       6;     9193;SC   ;EV     ;   6542;   0.1;  0.1; 1998;    11
       7;     3427;SR   ;CO     ;   3427;  -1.0; -1.0; 1979;    12
       7;     5628;SR   ;CO     ;   2201;   1.3;  1.2; 1986;    10
       7;     9847;UR   ;EV     ;   4219;   0.1;  0.2; 1999;     5
       7;    10781;SC   ;CO     ;    934;  -0.5; -0.5; 2002;     5
       7;    12114;SC   ;EV     ;   1333;  -0.1; -0.1; 2006;     3
       8;     1526;SR   ;EV     ;   1526;  -0.8; -0.7; 1974;     3
       8;     3978;SR   ;EV     ;   2452;   0.9;  0.9; 1981;    11
       8;     4073;SC   ;EV     ;     95;  -0.2; -0.1; 1982;     2
       8;     8452;SC   ;CO     ;   4379;   0.7;  0.7; 1995;     6
       8;     9671;SR   ;EV     ;   1219;  -0.8; -0.8; 1999;    10
       8;    10670;SR   ;EV     ;    999;   0.8;  0.8; 2002;     9
      10;     1415;SC   ;EV     ;   1415;   0.1;  0.1; 1974;     4
      10;     2695;SR   ;EV     ;   1280;   0.4;  0.4; 1977;    11
      10;     8868;SC   ;CO     ;   6173;   1.3;  1.3; 1995;     9
      10;     9967;UR   ;CO     ;   1099;   0.1;  0.0; 1998;    10
