 Station; Location; Type; Method; Length; MEANr; MEDr; Year; Month
       1;     3716;SR   ;EV     ;   3716;   0.5;  0.4; 1982;    11
       1;    11421;SC   ;EV     ;   7705;  -0.2; -0.2; 2005;     9
       2;     2977;SR   ;EV     ;   2977;   0.1;  0.1; 1978;     2
       2;     3157;SR   ;CO     ;    180;  -1.5; -1.5; 1978;     8
       2;     5518;SR   ;EV     ;   2361;  -0.1; -0.1; 1985;     2
       3;     2362;SR   ;EV     ;   2362;  -0.8; -0.7; 1976;    11
       3;     4150;SC   ;EV     ;   1788;   0.1;  0.1; 1982;     6
       3;     9525;SR   ;EV     ;   5375;   0.6;  0.6; 1998;     1
       4;     1457;SC   ;CO     ;   1457;  -1.2; -1.2; 1974;    11
       4;     5737;SC   ;EV     ;   4280;   0.2;  0.2; 1987;    11
       4;     8909;SR   ;EV     ;   3172;  -0.1; -0.1; 1997;     1
       5;      820;SC   ;CO     ;    820;  -0.7; -0.7; 1972;     4
       5;     6523;SC   ;CO     ;   5703;  -0.7; -0.8; 1988;     4
       5;    14095;SR   ;EV     ;   7572;   0.1;  0.1; 2009;     2
       6;     1898;SR   ;EV     ;   1898;  -0.1; -0.1; 1975;     4
       6;     2621;SR   ;EV     ;    723;   0.1;  0.1; 1977;     4
       6;     3748;SR   ;EV     ;   1127;  -0.2; -0.2; 1980;     6
       6;    10187;SC   ;EV     ;   6439;  -0.1;  0.0; 2004;     4
       6;    10725;SC   ;EV     ;    538;   0.1;  0.1; 2005;    10
       7;     7143;SC   ;CO     ;   7143;   1.0;  0.9; 1989;     7
       7;     7385;SC   ;CO     ;    242;   0.3;  0.3; 1990;     3
       8;     3463;SC   ;EV     ;   3463;  -0.1;  0.0; 1979;     7
       8;     9437;SC   ;CO     ;   5974;  -0.3; -0.3; 1997;    11
       9;      769;SC   ;EV     ;    769;   0.1;  0.1; 1972;     2
       9;     4500;SR   ;EV     ;   3731;   0.2;  0.2; 1982;     8
       9;     7280;SC   ;CO     ;   2780;   1.5;  1.5; 1990;    10
       9;     8574;SR   ;CO     ;   1294;  -1.0; -1.0; 1994;     7
       9;    13235;SC   ;CO     ;   4661;   1.5;  1.5; 2007;     9
      10;    10788;SC   ;EV     ;  10788;   0.2;  0.1; 2000;     6
      11;     4837;SC   ;CO     ;   4837;   0.3;  0.3; 1983;     6
      11;     6465;SC   ;CO     ;   1628;  -0.5; -0.5; 1988;     3
      12;     2059;SR   ;EV     ;   2059;  -1.8; -1.8; 1975;     8
      12;     3201;SC   ;EV     ;   1142;   0.1;  0.2; 1978;    10
      12;     9754;SC   ;EV     ;   6553;  -0.1; -0.1; 1996;    10
      13;     4022;SC   ;EV     ;   4022;   0.2;  0.2; 1981;     1
      13;     8801;SR   ;CO     ;   4779;   0.5;  0.5; 1994;     7
      14;      823;SR   ;EV     ;    823;   0.0; -0.1; 1972;     5
      14;     3799;SR   ;CO     ;   2976;   1.3;  1.3; 1981;     4
      14;     3818;SC   ;CO     ;     19;  -1.3; -1.3; 1981;     5
      14;     4224;SC   ;EV     ;    406;   0.1;  0.1; 1982;     8
      14;     8711;SC   ;EV     ;   4487;   0.1;  0.1; 1996;     5
      14;    10443;SC   ;CO     ;   1732;   1.0;  1.0; 2001;     6
      15;     3182;SC   ;CO     ;   3182;   1.5;  1.5; 1979;     6
      15;     6365;SC   ;EV     ;   3183;   0.1;  0.2; 1988;    10
      15;     9349;SC   ;CO     ;   2984;  -0.8; -0.8; 1998;     9
      16;     4665;SC   ;EV     ;   4665;  -0.1; -0.1; 1983;     3
      17;     3100;SC   ;EV     ;   3100;   0.1;  0.1; 1978;     7
      17;     3227;SC   ;EV     ;    127;  -0.1;  0.0; 1978;    11
      17;     3910;SR   ;EV     ;    683;  -0.1; -0.1; 1980;     9
      17;     6302;SR   ;EV     ;   2392;   0.1;  0.1; 1987;     4
      17;     8758;SR   ;EV     ;   2456;  -0.1; -0.1; 1993;    12
      19;     7240;SC   ;CO     ;   7240;  -1.3; -1.2; 1990;     5
      19;    12271;SC   ;EV     ;   5031;   0.2;  0.1; 2004;     4
      20;     3962;SR   ;CO     ;   3962;  -0.5; -0.5; 1980;    11
      20;     5273;SC   ;CO     ;   1311;  -1.5; -1.5; 1984;     6
      21;      126;SR   ;CO     ;    126;  -0.3; -0.3; 1970;     5
      22;      857;SC   ;EV     ;    857;   0.1;  0.1; 1972;     5
      22;     1135;SR   ;EV     ;    278;   0.5;  0.5; 1973;     2
      22;     1370;SR   ;CO     ;    235;  -1.0; -1.0; 1973;    10
      22;     3619;SR   ;CO     ;   2249;   0.3;  0.3; 1979;    12
      23;     2730;SC   ;EV     ;   2730;   0.1;  0.1; 1977;     6
      23;     8344;SR   ;CO     ;   5614;   1.2;  1.2; 1993;     1
      24;     5815;SR   ;EV     ;   5815;   0.1;  0.0; 1986;     2
      24;    10959;SC   ;EV     ;   5144;   0.1;  0.1; 2000;     8
      25;     2517;SR   ;EV     ;   2517;  -0.2; -0.2; 1976;    11
      25;     7012;SC   ;EV     ;   4495;   0.1;  0.1; 1989;     4
      26;      503;SC   ;EV     ;    503;   0.1;  0.1; 1971;     5
      26;     8155;SR   ;EV     ;   7652;  -0.1; -0.1; 1993;     1
      26;     9255;SC   ;EV     ;   1100;   0.1;  0.1; 1996;     7
      27;     6747;SC   ;CO     ;   6747;  -1.3; -1.2; 1989;     2
      27;     7574;SR   ;EV     ;    827;   0.8;  0.8; 1991;     6
      27;     9949;SR   ;CO     ;   2375;   1.0;  1.0; 1998;     4
      28;       78;SR   ;CO     ;     78;  -0.8; -0.7; 1970;     3
      28;     5405;SR   ;CO     ;   5327;  -1.0; -1.0; 1986;     1
      28;     7379;SC   ;EV     ;   1974;   0.1;  0.1; 1991;     8
      28;    10024;SR   ;CO     ;   2645;   0.5;  0.5; 1998;    11
      28;    11815;SR   ;CO     ;   1791;   1.5;  1.4; 2003;    12
      28;    12204;SR   ;EV     ;    389;   0.8;  0.8; 2005;     1
      29;    11052;SC   ;CO     ;  11052;  -1.0; -1.0; 2001;    11
      29;    12401;SR   ;EV     ;   1349;   0.9;  0.9; 2006;    11
      29;    13098;SC   ;EV     ;    697;   0.2;  0.2; 2009;     9
      30;     6256;SC   ;CO     ;   6256;   1.5;  1.4; 1994;     3
      30;    10416;SC   ;EV     ;   4160;   0.2;  0.2; 2006;    10
      30;    11405;SR   ;CO     ;    989;   0.5;  0.5; 2009;     7
      31;     1312;SR   ;EV     ;   1312;   0.5;  0.4; 1973;     8
